Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 25 (Backtesting [5d]);a67bc034;0,5206;5,6908;7,1014;0,4576;0,4839;0,4569;0,6212;0,8869;0,7673
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 246 (Backtesting [5d]);9607ac6b;0,2887;6,6291;8,6501;0,5254;0,5484;0,5247;0,4602;1,0141;0,7648
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 13 (Backtesting [5d]);f0988cbb;0,3099;6,9036;8,5203;0,5254;0,5333;0,5253;0,465;1,0053;0,7622
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 12345 (Backtesting [5d]);98cb9cc1;0,4777;5,7842;7,4123;0,4576;0,5;0,4563;0,5914;0,8963;0,7591
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 12 (Backtesting [5d]);80514bb7;0,4676;6,2948;7,4838;0,4746;0,4918;0,4741;0,5699;0,9139;0,7591
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 345 (Backtesting [5d]);d90becd3;0,4964;5,8272;7,2781;0,4576;0,4839;0,4569;0,6015;0,8869;0,7585
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 1256 (Backtesting [5d]);e5e2f070;0,4208;6,1817;7,8054;0,4746;0,5231;0,473;0,5455;0,9321;0,7582
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 23 (Backtesting [5d]);40be8fb6;0,2458;7,1866;8,9072;0,5254;0,5758;0,5236;0,4246;1,0299;0,7575
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 1234 (Backtesting [5d]);17fa9562;0,2518;7,2529;8,8717;0,5254;0,5625;0,5241;0,4264;1,0222;0,7541
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 13456 (Backtesting [5d]);66a45eb0;0,4489;6,1957;7,6138;0,4746;0,4746;0,4747;0,5616;0,9039;0,7498
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 2345 (Backtesting [5d]);ac750c7a;0,3443;6,5008;8,305;0,4915;0,5312;0,4902;0,4936;0,9593;0,7497
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 23 (Backtesting [5d]);8c46d1be;0,4642;5,8921;7,5075;0,4576;0,4839;0,4569;0,5798;0,8869;0,7487
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 13 (Backtesting [5d]);def53fba;0,4996;5,6051;7,2552;0,4407;0,4762;0,4397;0,611;0,8601;0,748
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 1 (Backtesting [5d]);3be88e88;0,3803;6,6345;8,0738;0,4915;0,5;0,4914;0,5103;0,9411;0,7472
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 14 (Backtesting [5d]);773ce90b;0,3308;6,5436;8,3899;0,4915;0,5312;0,4902;0,4851;0,9593;0,7459
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 15 (Backtesting [5d]);470444a6;0,5151;5,7102;7,1417;0,4407;0,459;0,4402;0,6171;0,85;0,7452
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 12345 (Backtesting [5d]);b3d9d0f4;0,2792;6,6513;8,7076;0,4915;0,5714;0,4885;0,4546;0,9825;0,7449
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 2346 (Backtesting [5d]);4282c3cb;0,5488;5,4652;6,889;0,4237;0,4516;0,423;0,6474;0,8234;0,7442
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 235 (Backtesting [5d]);5a6d6bcf;0,2485;7,2757;8,891;0,5085;0,5672;0,5063;0,4242;1,0025;0,7423
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 236 (Backtesting [5d]);f2f10584;0,458;5,8509;7,5505;0,4576;0,4667;0,4575;0,5774;0,8769;0,7421
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 135 (Backtesting [5d]);aefbe46a;0,5801;5,2822;6,6461;0,4068;0,4262;0,4063;0,6752;0,7862;0,7362
LSTMv3.4 (10,[96],0.05,64,0.00042) (YeoJohnson) (Standard) + 1356 (Backtesting [5d]);48801527;0,2628;6,877;8,806;0,5085;0,5246;0,508;0,4405;0,9778;0,736
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 146 (Backtesting [5d]);00727f59;0,4413;6,1181;7,666;0,4576;0,4667;0,4575;0,5593;0,8769;0,734
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 35 (Backtesting [5d]);9263192f;0,4113;5,9998;7,869;0,4576;0,4839;0,4569;0,5454;0,8869;0,7333
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 256 (Backtesting [5d]);36a9fedf;0,5431;5,4782;6,9326;0,4068;0,4615;0,4052;0,6431;0,8068;0,7332
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 35 (Backtesting [5d]);9bc523cc;0,2205;7,314;9,0553;0,5254;0,5172;0,5259;0,4088;0,9959;0,7317
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 1356 (Backtesting [5d]);391daad1;0,2311;6,5716;8,9932;0,5085;0,5085;0,5086;0,4313;0,9684;0,7267
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 1234 (Backtesting [5d]);9292262c;0,2723;7,1806;8,7492;0,4915;0,5312;0,4902;0,4388;0,9593;0,725
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 3 (Backtesting [5d]);cbf7b141;0,1964;7,342;9,1938;0,5085;0,5397;0,5075;0,3958;0,9866;0,7207
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 124 (Backtesting [5d]);d9a48804;0,5402;5,4802;6,9547;0,4068;0,4068;0,4069;0,6412;0,7747;0,7146
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 345 (Backtesting [5d]);981f6e43;0,2731;7,2691;8,7446;0,4915;0,5;0,4914;0,4373;0,9411;0,7144
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 15 (Backtesting [5d]);950d3acf;0,5071;5,7494;7,2006;0,4068;0,4444;0,4057;0,6107;0,7968;0,7131
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 346 (Backtesting [5d]);96a14040;0,2263;7,0006;9,0214;0,4915;0,5161;0,4908;0,4185;0,9505;0,7111
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 2456 (Backtesting [5d]);68d3e6e8;0,0683;8,2953;9,8997;0,5254;0,5758;0,5236;0,3142;1,0299;0,7078
