Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (3, 0, 0)(2, 0, 2, 5) (Standard) + 2346;eef6bee8;0,9378;1,9639;2,5588;0,7119;0,7302;0,7109;1,5392;1,3661;1,444
SARIMAXv2.4 (3, 0, 0)(2, 0, 2, 5) (Standard) + 2356;03cf8726;0,937;1,9587;2,5753;0,7119;0,7302;0,7109;1,5365;1,3661;1,4428
SARIMAXv2.4 (3, 0, 0)(2, 0, 2, 5) (Standard) + 2456;e19dd489;0,9366;1,957;2,5828;0,7119;0,7302;0,7109;1,5351;1,3661;1,4422
SARIMAXv2.4 (3, 0, 0)(2, 0, 2, 5) (Standard) + 256;54975d10;0,9361;1,9684;2,592;0,7119;0,7302;0,7109;1,5296;1,3661;1,4397
SARIMAXv2.4 (1, 1, 1)(2, 0, 0, 5) (YeoJohnson) + 1346;ebee5a91;0,866;3,2228;3,754;0,8983;0,8966;0,8989;1,102;1,71;1,4364
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 12;d88704c4;0,8267;3,842;4,2687;0,9483;0,9524;0,9464;0,9821;1,8072;1,4359
SARIMAXv2.4 (1, 0, 0)(1, 0, 1, 5) (MinMax) + 245;04fab710;0,9255;2,1525;2,7994;0,7458;0,7692;0,7443;1,434;1,4335;1,4337
SARIMAXv2.4 (3, 0, 3)(0, 0, 0, 5) (RetLog) + 125;f090d6f7;0,8389;3,6521;4,1169;0,931;0,9355;0,9298;1,0151;1,7749;1,433
SARIMAXv2.4 (1, 1, 0)(0, 0, 2, 5) (MinMax) + 2346;39aa7937;0,8998;2,7218;3,2473;0,8305;0,8438;0,8293;1,2418;1,5889;1,4327
SARIMAXv2.4 (1, 0, 0)(1, 0, 0, 5) (MinMax) + 25;d0d13074;0,9298;2,073;2,7166;0,7288;0,75;0,7276;1,4719;1,4;1,4324
SARIMAXv2.4 (1, 0, 2)(0, 0, 0, 5) (RetLog) + 1345;3e28dfde;0,8743;3,1391;3,6357;0,8793;0,8814;0,8798;1,1277;1,6761;1,4293
SARIMAXv2.4 (3, 1, 1)(0, 0, 1, 5) (Log) (MinMax) + 14;ff1b8a77;0,8669;3,4359;3,7419;0,8983;0,8966;0,8989;1,0826;1,71;1,4277
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 235;ed56c599;0,7921;4,0751;4,6765;0,9655;0,9677;0,9643;0,9204;1,8393;1,4258
SARIMAXv2.4 (1, 0, 1)(0, 0, 0, 5) (RetLog) + 13456;9fa46547;0,8693;3,1951;3,707;0,8793;0,8852;0,8786;1,1115;1,6777;1,4229
SARIMAXv2.4 (1, 0, 0)(1, 0, 0, 5) (MinMax) + 235;2852b7f2;0,9273;2,1281;2,7652;0,7288;0,75;0,7276;1,4474;1,4;1,4213
SARIMAXv2.4 (0, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 1456;02aeef20;0,8598;3,4212;3,8397;0,8966;0,8966;0,8976;1,0707;1,7081;1,4213
SARIMAXv2.4 (1, 0, 0)(0, 0, 1, 5) (MinMax) + 2456;1fd9b0a2;0,917;2,3326;2,9543;0,7627;0,7812;0,7615;1,3627;1,4629;1,4178
SARIMAXv2.4 (0, 1, 2)(0, 0, 1, 5) (YeoJohnson) (MinMax) + 13456;98ba9c1b;0,8353;3,6143;4,1621;0,9153;0,9153;0,9155;1,0128;1,7432;1,4145
SARIMAXv2.4 (1, 1, 1)(0, 0, 1, 5) (YeoJohnson) + 1345;e32483b0;0,8514;3,4686;3,9534;0,8983;0,8966;0,8989;1,0514;1,71;1,4137
SARIMAXv2.4 (1, 1, 1)(0, 0, 2, 5) (YeoJohnson) + 13456;a59b7cc6;0,8513;3,4791;3,9546;0,8983;0,8966;0,8989;1,0503;1,71;1,4132
SARIMAXv2.4 (0, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 145;58e0430e;0,8539;3,5176;3,9198;0,8966;0,8966;0,8976;1,0514;1,7081;1,4126
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (YeoJohnson) (Standard) + 14;b7d98e0d;0,8787;3,2276;3,5728;0,8644;0,8621;0,8649;1,1273;1,6451;1,4121
SARIMAXv2.4 (0, 0, 2)(0, 0, 0, 5) (RetLog) + 1346;c88eb761;0,8495;3,5177;3,9781;0,8966;0,8966;0,8976;1,0439;1,7081;1,4092
SARIMAXv2.4 (1, 0, 0)(0, 0, 1, 5) (MinMax) + 256;d3f1aa82;0,9234;2,2027;2,8389;0,7288;0,75;0,7276;1,414;1,4;1,4063
SARIMAXv2.4 (1, 1, 1)(0, 0, 1, 5) (YeoJohnson) (MinMax) + 134;b7044f60;0,8557;3,3416;3,8954;0,8814;0,8814;0,8816;1,071;1,6786;1,4052
SARIMAXv2.4 (1, 0, 0)(0, 0, 1, 5) (MinMax) + 2356;35d34924;0,9231;2,2205;2,8438;0,7288;0,75;0,7276;1,409;1,4;1,404
