Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 246;106aa117;-0,0946;9,3883;10,7302;0,6949;0,7;0,6948;0,2199;1,3264;0,8285
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 15;950d3acf;-0,0616;9,1188;10,5672;0,678;0,6984;0,677;0,2391;1,3029;0,8242
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 345;981f6e43;0,0152;8,8395;10,1778;0,661;0,6774;0,6603;0,28;1,2683;0,8236
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 23;8c46d1be;-0,1339;10,1139;10,9215;0,6949;0,7188;0,6937;0,1929;1,337;0,8222
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 2;bc80aafb;-0,4239;11,3837;12,2383;0,7627;0,7667;0,7626;0,0466;1,4549;0,8211
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 1;3be88e88;0,1995;7,9793;9,1765;0,6102;0,623;0,6098;0,3854;1,1695;0,8167
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 125;ca027ae8;-0,2562;7,8021;11,4951;0,6949;0,7097;0,6943;0,1678;1,3319;0,8081
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 145;86eceb0a;-0,1727;10,1817;11,1063;0,6949;0,7;0,6948;0,1739;1,3264;0,8078
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 123;af4dfe87;-0,5161;12,1521;12,6286;0,7627;0,7812;0,7615;-0,0013;1,4629;0,8041
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 1;e97c1a06;0,3729;6,8518;8,1219;0,5424;0,5714;0,5414;0,5009;1,0499;0,8028
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 135;84b39f3c;0,0202;8,2256;10,1523;0,6271;0,6667;0,6253;0,2917;1,2171;0,8006
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 1245;7f96da0e;-0,6439;11,6888;13,15;0,7797;0,8;0,7782;-0,055;1,4961;0,7981
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 26;aacae2cb;-0,0385;9,1213;10,4519;0,6441;0,6769;0,6425;0,2501;1,2455;0,7976
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 25;1bf9edcd;-0,3962;10,8578;12,1189;0,7288;0,7419;0,7282;0,0638;1,3955;0,7962
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 12;80514bb7;-0,4938;12,019;12,5351;0,7458;0,7541;0,7454;0,0098;1,425;0,7882
