Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (2, 1, 0)(1, 0, 1, 5) (YeoJohnson) (MinMax) + 26;ccfa7ee3;0,7557;3,6054;5,069;0,5085;0,5397;0,5075;0,9153;0,9866;0,9545
SARIMAXv2.4 (2, 1, 0)(1, 0, 1, 5) (YeoJohnson) + 26;ed18eb91;0,7557;3,6054;5,069;0,5085;0,5397;0,5075;0,9153;0,9866;0,9545
SARIMAXv2.4 (1, 1, 1)(1, 0, 0, 5) (YeoJohnson) (Standard) + 1346;9b7307ef;0,778;3,6287;4,8324;0,5085;0,4912;0,5092;0,9372;0,9584;0,9488
SARIMAXv2.4 (3, 1, 0)(2, 0, 0, 5) (MinMax) + 6;4038a75f;0,6123;4,6004;6,3857;0,5932;0,5862;0,5937;0,7286;1,1258;0,9471
SARIMAXv2.4 (3, 1, 0)(2, 0, 0, 5) (Standard) + 6;61c78637;0,6123;4,6002;6,3861;0,5932;0,5862;0,5937;0,7286;1,1258;0,947
SARIMAXv2.4 (3, 1, 0)(2, 0, 0, 5) + 6;f1645dc5;0,6122;4,6009;6,3872;0,5932;0,5862;0,5937;0,7285;1,1258;0,947
SARIMAXv2.4 (1, 1, 1)(0, 0, 1, 5) (YeoJohnson) (MinMax) + 134;b7044f60;0,7739;3,6576;4,8763;0,5085;0,4912;0,5092;0,9303;0,9584;0,9457
SARIMAXv2.4 (3, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 26;4867a16b;0,7754;3,595;4,8601;0,4915;0,5161;0,4908;0,9372;0,9505;0,9445
SARIMAXv2.4 (3, 1, 0)(0, 0, 0, 5) (Log) + 26;1fdc497c;0,7754;3,595;4,8601;0,4915;0,5161;0,4908;0,9372;0,9505;0,9445
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (YeoJohnson) (Standard) + 25;b185e61b;0,7604;3,5521;5,0199;0,4915;0,5312;0,4902;0,9247;0,9593;0,9437
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (YeoJohnson) (MinMax) + 2;7c7c247e;0,7593;3,5474;5,0316;0,4915;0,5312;0,4902;0,924;0,9593;0,9434
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 1345;2a86c46b;0,7717;3,6913;4,9007;0,5085;0,4912;0,5092;0,9251;0,9584;0,9434
SARIMAXv2.4 (0, 1, 2)(0, 0, 1, 5) (YeoJohnson) (MinMax) + 13456;98ba9c1b;0,7702;3,6918;4,9164;0,5085;0,4912;0,5092;0,9235;0,9584;0,9427
SARIMAXv2.4 (2, 1, 0)(1, 0, 1, 5) (YeoJohnson) + 25;1d5f88c9;0,7579;3,5717;5,046;0,4915;0,5312;0,4902;0,9205;0,9593;0,9418
SARIMAXv2.4 (2, 1, 0)(0, 0, 1, 5) (YeoJohnson) (MinMax) + 25;432ce101;0,7571;3,5794;5,0542;0,4915;0,5312;0,4902;0,919;0,9593;0,9411
