Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 23 (Backtesting [5d]);38344507;-1,1073;10,6887;14,8885;0,4576;0,5152;0,4557;-0,2502;0,9051;0,3852
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 3456 (Backtesting [5d]);5e943f36;-0,6139;10,3319;13,0296;0,3729;0,3509;0,3736;-0,0293;0,6972;0,3703
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (Log) (Standard) + 56 (Backtesting [5d]);c110ca69;-1,2668;12,8062;15,4417;0,5085;0,4528;0,5103;-0,3364;0,9358;0,3633
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 345 (Backtesting [5d]);35c33a76;-1,5745;13,6234;16,4562;0,5424;0,5574;0,542;-0,4741;1,0417;0,3596
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 246 (Backtesting [5d]);faeca0c2;-0,9472;11,3816;14,3117;0,3898;0,4194;0,3891;-0,1865;0,7598;0,334
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 12 (Backtesting [5d]);9f4e7552;-1,0571;11,9387;14,71;0,4068;0,386;0,4075;-0,2391;0,7625;0,3118
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 134 (Backtesting [5d]);1aa7ba62;-1,6584;14,8372;16,7224;0,5085;0,5397;0,5075;-0,5166;0,9866;0,3101
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 16 (Backtesting [5d]);071b3a96;-1,6686;15,5177;16,7544;0,5085;0,5397;0,5075;-0,5242;0,9866;0,3067
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 13 (Backtesting [5d]);504278a5;-1,8638;15,0843;17,3562;0,5424;0,5574;0,542;-0,6056;1,0417;0,3004
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 235 (Backtesting [5d]);217129af;-1,232;12,6365;15,3227;0,4068;0,4444;0,4057;-0,3202;0,7968;0,2942
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 2356 (Backtesting [5d]);cc0bb941;-1,5755;13,9404;16,4594;0,4746;0,4561;0,4753;-0,4763;0,8931;0,2768
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 5 (Backtesting [5d]);db947321;-2,3346;15,564;18,7288;0,5932;0,625;0,592;-0,8078;1,1482;0,268
Transformerv3.4 (15,96,4,2,0.25,96,0.00053) (Log) (Standard) + 245 (Backtesting [5d]);818b9e6f;-2,0069;14,9481;17,7846;0,4915;0,5312;0,4902;-0,6658;0,9593;0,228
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 45 (Backtesting [5d]);c3bed35f;-1,9186;14,6586;17,5215;0,4746;0,4918;0,4741;-0,6268;0,9139;0,2206
Transformerv3.4 (25,128,8,1,0.15,96,0.00013) (YeoJohnson) (Standard) + 246 (Backtesting [5d]);e0cb02b0;-2,2739;13,9242;18,5576;0,5424;0,5263;0,5431;-0,7738;1,0236;0,2148
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (YeoJohnson) (Standard) + 124 (Backtesting [5d]);cf63ec7f;-2,4433;15,9545;19,0315;0,5593;0,5806;0,5586;-0,8554;1,0776;0,2077
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 2 (Backtesting [5d]);7f5790c8;-1,9035;15,2274;17,4761;0,4576;0,4286;0,4586;-0,6232;0,8545;0,1896
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (Log) (Standard) + 34 (Backtesting [5d]);bf20d528;-2,6419;17,6194;19,5727;0,5593;0,6176;0,5569;-0,9458;1,0989;0,1788
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 126 (Backtesting [5d]);8b423135;-2,3723;16,7289;18,8343;0,5085;0,5085;0,5086;-0,8286;0,9684;0,1598
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 2345 (Backtesting [5d]);a4ff3c91;-2,5037;15,0621;19,1978;0,5085;0,5085;0,5086;-0,8769;0,9684;0,138
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 346 (Backtesting [5d]);d5f88fd1;-2,4268;16,8517;18,9858;0,5085;0,4727;0,5098;-0,8521;0,9475;0,1377
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 456 (Backtesting [5d]);a542c053;-2,4554;14,787;19,065;0,4746;0,4918;0,4741;-0,8551;0,9139;0,1178
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 26 (Backtesting [5d]);8f19d088;-2,6681;14,2115;19,643;0,4915;0,5161;0,4908;-0,9419;0,9505;0,0989
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 24 (Backtesting [5d]);c86c209f;-2,4188;16,0731;18,9638;0,4576;0,4483;0,458;-0,8456;0,8661;0,0958
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 24 (Backtesting [5d]);3.6989e+99;-3,1118;16,039;20,7971;0,5763;0,5763;0,5764;-1,1374;1,0976;0,0918
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 3 (Backtesting [5d]);b5f4a987;-2,0956;15,5912;18,0451;0,3898;0,3333;0,3914;-0,7066;0,7092;0,0721
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 13 (Backtesting [5d]);b1be12a3;-3,2691;18,9836;21,1912;0,5424;0,5424;0,5425;-1,214;1,033;0,0218
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 23 (Backtesting [5d]);ca483947;-3,3951;18,8508;21,5015;0,5085;0,5397;0,5075;-1,2664;0,9866;-0,0273
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 346 (Backtesting [5d]);533bfc34;-3,825;19,4545;22,5286;0,5593;0,5357;0,5603;-1,4481;1,0515;-0,0733
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 2356 (Backtesting [5d]);b2e4b6a2;-3,1345;18,767;20,8543;0,4068;0,4068;0,4069;-1,1568;0,7747;-0,0945
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 3 (Backtesting [5d]);f3f90412;-4,7786;22,4054;24,6545;0,4746;0,4561;0,4753;-1,8533;0,8931;-0,3428
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 34 (Backtesting [5d]);3335077c;-5,0409;21,4737;25,2078;0,4915;0,4828;0,492;-1,9604;0,931;-0,3701
