Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Prophetv2.3 (1.0,0.5,0.1,50,0.9,0.8);4c6d4698;-10,9648;34,137;35,4763;0,5593;0,6389;0,5557;-4,4316;1,1111;-1,3832
Prophetv2.3 (0.3,10.0,0.1,50,0.9,0.8) (Log);620aa0ec;-12,605;36,2462;37,8299;0,5085;0,6027;0,5046;-5,1103;1,0229;-1,737
Prophetv2.3 (0.8,10.0,0.1,50,0.95,0.8) (RetLog);76cd4146;-12,2463;26,5775;37,3256;0,4483;0,3846;0,4524;-4,9513;0,8178;-1,7783
Prophetv2.3 (1.0,5.0,0.1,50,0.9,0.8) (YeoJohnson);cb551a50;-13,4188;37,2624;38,9449;0,4746;0,5634;0,4713;-5,4468;0,9554;-1,9256
