Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (25,128,8,1,0.15,96,0.00013) (Log) (Standard) + 124;4c2d01c0;-2,0844;16,4837;18,0125;0,6102;0,6462;0,6086;-0,7056;1,1828;0,333
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (YeoJohnson) (Standard) + 136;a739e738;-1,7365;15,1523;16,9663;0,5424;0,5574;0,542;-0,5516;1,0417;0,3247
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (YeoJohnson) (Standard) + 12456;cfc12d44;-1,1723;12,8119;15,1162;0,4407;0,4211;0,4414;-0,2954;0,8278;0,3223
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (YeoJohnson) (Standard) + 124;cf63ec7f;-1,4277;14,4678;15,9802;0,4915;0,4643;0,4925;-0,4157;0,9202;0,3191
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 1345;ce13f153;-1,2123;12,218;15,255;0,4237;0,4138;0,4241;-0,3087;0,8012;0,3018
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 5;db947321;-1,8173;14,6362;17,2149;0,4915;0,5455;0,4897;-0,5835;0,9675;0,2696
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 16;071b3a96;-2,0214;15,3086;17,8276;0,5254;0,5625;0,5241;-0,6738;1,0222;0,259
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 246;faeca0c2;-1,6434;13,9212;16,6749;0,4407;0,4407;0,4408;-0,5053;0,8393;0,2342
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 15;a08ea248;-2,2433;14,9087;18,4705;0,5424;0,5424;0,5425;-0,766;1,033;0,2235
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 6;ec275760;-2,2237;16,5513;18,4147;0,4915;0,5588;0,4891;-0,765;0,9753;0,1921
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 12;43cdc269;-2,5903;17,5652;19,4335;0,5763;0,5614;0,577;-0,9238;1,0889;0,1832
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 3456;174a4f44;-2,2116;17,222;18,38;0,4915;0,5161;0,4908;-0,7624;0,9505;0,1797
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (Log) (Standard) + 16;01da9567;-2,7148;17,4899;19,7676;0,5763;0,5614;0,577;-0,9761;1,0889;0,1597
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 1345;a9e1cbfa;-2,0788;16,2679;17,996;0,4407;0,4762;0,4397;-0,7023;0,8601;0,157
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 12346;f6b434dd;-2,8559;19,1021;20,1394;0,5763;0,6032;0,5753;-1,0408;1,1131;0,1439
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 234;1edce58f;-2,5928;17,3213;19,4404;0,5254;0,5333;0,5253;-0,924;1,0053;0,1371
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 135;d0a7b0c0;-2,7778;18,1719;19,9344;0,5424;0,6087;0,5397;-1,0049;1,0713;0,137
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 36;a14755d2;-2,2082;16,2433;18,3704;0,4576;0,4483;0,458;-0,7572;0,8661;0,1356
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 35;a9c4d1a5;-3,079;18,5661;20,7138;0,5593;0,5667;0,5592;-1,1329;1,0695;0,0784
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 45;56c66b9e;-2,5649;17,7546;19,3648;0,4576;0,4286;0,4586;-0,9138;0,8545;0,0588
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 13456;4bf36e05;-2,7552;17,3844;19,8748;0,4576;0,5294;0,4552;-0,9927;0,9134;0,0557
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 12346;eac345b9;-3,1265;18,4672;20,8342;0,5085;0,5397;0,5075;-1,1525;0,9866;0,024
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 1234;31c5f2b7;-3,4777;20,2938;21,7027;0,5593;0,6061;0,5575;-1,3051;1,0923;0,0134
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 1356;88d41b76;-2,9806;19,1891;20,4626;0,4576;0,5152;0,4557;-1,0935;0,9051;0,0058
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 126;8b423135;-3,4852;19,1859;21,7208;0,5424;0,5424;0,5425;-1,3052;1,033;-0,0192
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 12345;2e527d3a;-3,5503;20,4913;21,878;0,5424;0,5846;0,5408;-1,3361;1,0575;-0,0196
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 346;d5f88fd1;-3,0889;18,84;20,739;0,4746;0,4561;0,4753;-1,1379;0,8931;-0,0209
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 134;0de779ee;-3,653;19,8609;22,1234;0,5593;0,5806;0,5586;-1,3774;1,0776;-0,0271
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 345;35c33a76;-3,0603;19,104;20,6665;0,4407;0,4762;0,4397;-1,1267;0,8601;-0,034
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 23;38344507;-3,7683;21,2771;22,396;0,5763;0,5902;0,5759;-1,4293;1,1056;-0,0351
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 23456;9b61c986;-3,1407;19,4181;20,8701;0,4407;0,5075;0,4385;-1,1614;0,8783;-0,0396
Transformerv3.4 (15,96,4,2,0.25,96,0.00053) (Log) (Standard) + 6;5ff28c32;-3,7109;18,5321;22,2607;0,5254;0,5333;0,5253;-1,3976;1,0053;-0,076
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 4;5f7a58b4;-4,3124;21,8463;23,639;0,6271;0,6667;0,6253;-1,6578;1,2171;-0,0766
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 1346;0533c189;-3,9141;18,8584;22,7357;0,5254;0,5484;0,5247;-1,4836;1,0141;-0,1099
