Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Prophetv2.3 (0.8,10.0,0.1,50,0.95,0.8) (RetLog);76cd4146;0,7191;4,0153;5,4353;0,4483;0,4667;0,4476;0,849;0,8644;0,8575
Prophetv2.3 (1.0,0.5,0.1,50,0.9,0.8);4c6d4698;-0,2041;9,7848;11,254;0,5085;0,5246;0,508;0,1636;0,9778;0,6114
Prophetv2.3 (1.0,5.0,0.1,50,0.9,0.8) (YeoJohnson);cb551a50;-0,854;12,2682;13,965;0,5085;0,4528;0,5103;-0,1525;0,9358;0,4461
Prophetv2.3 (0.3,10.0,0.1,50,0.9,0.8) (Log);620aa0ec;-0,6573;11,5865;13,2035;0,4576;0,4286;0,4586;-0,0601;0,8545;0,4429
